delta_t,v,w,cos_theta,sin_theta
0.11999988555908203,0.0,0.0,0.12189609164126662,0.9925428670050397
0.12000012397766113,0.0,0.0,0.12189609164126662,0.9925428670050397
0.11999988555908203,0.0,0.0,0.12202181265436718,0.9925274188840036
0.12000012397766113,0.0,0.0,0.12218800975482629,0.9925069724048061
0.11999988555908203,0.0,0.0,0.12179683674525109,0.9925550516514692
0.12400007247924805,0.0,0.0,0.12219384901157758,0.9925062535136672
0.11899995803833008,0.0,0.0,0.12179683674525109,0.9925550516514692
0.12100005149841309,0.0,0.0,0.12209459777542239,0.9925184679360167
0.12100005149841309,0.0,0.0,0.12189609164126662,0.9925428670050397
0.11699986457824707,0.0,0.0,0.12202370304626843,0.9925271864764592
0.12199997901916504,0.0,0.0,0.12179683674525109,0.9925550516514692
0.11800003051757812,0.0,0.0,0.12199534531832124,0.9925306724331816
0.12199997901916504,0.0,0.0,0.12186962273640971,0.9925461173437158
0.12000012397766113,0.0,0.0,0.12189609164126662,0.9925428670050397
0.11999988555908203,0.0,0.0,0.12177698561986011,0.9925574873896928
0.11800003051757812,0.0,0.0,0.12199534531832124,0.9925306724331816
0.12000012397766113,0.0,0.0,0.12169174248972058,0.992567942163062
0.11999988555908203,0.0,0.0,0.12199534531832124,0.9925306724331816
0.12000012397766113,0.0,0.0,0.12181007132764975,0.9925534275408819
0.12399983406066895,0.0,0.0,0.12196226352410508,0.9925347380701981
0.11800003051757812,0.0,0.0,0.12156014806015605,0.9925840671719414
0.12199997901916504,0.0,0.0,0.12199534531832124,0.9925306724331816
0.11800003051757812,0.0,0.0,0.12180392750769832,0.9925541815153969
0.12199997901916504,0.0,0.0,0.12209459777542239,0.9925184679360167
0.11800003051757812,0.0,0.0,0.12149906475336457,0.9925915460369676
0.12199997901916504,0.0,0.0,0.12199534531832124,0.9925306724331816
0.12000012397766113,0.0,0.0,0.12193579388946367,0.9925379902898157
0.11999988555908203,0.0,0.0,0.12189609164126662,0.9925428670050397
0.12000012397766113,0.0,0.0,0.12179684857687656,0.9925550501996055
0.11999988555908203,0.0,0.0,0.12189609164126662,0.9925428670050397
0.12000012397766113,0.0,0.0,0.12166449551533898,0.9925712823424815
0.11800003051757812,0.0,0.0,0.12194902761331287,0.9925363644039282
