x,y,theta
0.9803894500171363,-4.992335437504656,1.44859633
0.9803266000817424,-4.992368250029802,1.44859633
0.9803415666671965,-4.992382760004133,1.4484696634392982
0.9803648941671459,-4.992356529450373,1.4483022133429169
0.9803488266268239,-4.992330166649712,1.44869633
0.9803526000272479,-4.992323428610354,1.44829633
0.9803401411749856,-4.992362047096195,1.44869633
0.9803707200365572,-4.992355193352936,1.44839633
0.9803537750525265,-4.992324375003353,1.44859633
0.9803619714475477,-4.992347357157698,1.448467758814714
0.9803544573910082,-4.9923706425068115,1.44869633
0.9803634118003449,-4.9923268881996545,1.44849633
0.9803805599268854,-4.992348506813955,1.4486229977262974
0.9803996687970317,-4.99239914373929,1.44859633
0.9803229999999999,-4.99232342,1.4487163299999999
0.9803855599742507,-4.992460340025749,1.44849633
0.9803267118015819,-4.992296311767923,1.4488022118579602
0.9804055334027402,-4.992407200082653,1.44849633
0.9803635333227371,-4.992352680050862,1.4486829961368513
0.9804291001509974,-4.992479833259159,1.4485296606842566
0.9803113385760921,-4.992296069249533,1.4489347905509298
0.9804175764694333,-4.99243180000561,1.44849633
0.9803571643262206,-4.992373507159279,1.4486891860480917
0.9804427,-4.9925286,1.44839633
0.9803606706898729,-4.992374964733601,1.44899633
0.9803947199698005,-4.9923642465962015,1.44849633
0.9803569800139873,-4.992346979994913,1.4485563293642114
0.9803928499888241,-4.992500062554948,1.44859633
0.9803746007748242,-4.992353850792705,1.448696318079628
0.9804177353584652,-4.992456511744082,1.44859633
0.9803409666671965,-4.992344699926885,1.4488296628035096
0.9803898600969562,-4.992418626694747,1.4485429961368512
0.9803990624983236,-4.9924485498860065,1.44879633
0.9804104,-4.992436,1.44859633
0.9803923117722957,-4.992404899971951,1.44849633
0.9804088534149249,-4.992433473459429,1.4487696622737025
0.98037825,-4.99236035,1.44874633
0.9803618499977649,-4.992500950052899,1.4488213296274717
0.9804108498748302,-4.9924154399256135,1.4482863307152565
0.9803938293045174,-4.992458917596735,1.4487845661190974
0.9803548000015895,-4.992287913330896,1.4487229965607018
0.9803474465868384,-4.992413562728318,1.4490845287749332
0.9803431236013642,-4.992420221119738,1.4490596840308285
0.980338800624479,-4.992426879497929,1.4490348393360857
0.9803344776390047,-4.992433537889349,1.449009994591981
0.98039994,-4.992474619999999,1.44877633
0.9803392142827949,-4.992353514247032,1.448832044650636
0.9803939666242808,-4.9924196067361795,1.44859633
0.9804055573092643,-4.992457857118529,1.4485106147411444
0.9804121667371332,-4.992451140046731,1.4487829959249134
0.980372956245809,-4.992379249993294,1.4486150800931321
0.9803479533442477,-4.992388740011762,1.44889633
0.98040572,-4.99244842,1.44839633
0.9804265,-4.9924728,1.44879633
0.9803693571525885,-4.992365735739101,1.4488034723705723
0.9803554249836085,-4.99237182499553,1.44869633
0.9803997133116109,-4.9924791467217675,1.4486429961368512
0.9803699,-4.99240366,1.44863633
0.9803810118480288,-4.99245048823612,1.44879633
0.9803498,-4.9923578,1.44879633
0.9803882705945052,-4.992476547083573,1.448661035552361
0.9803726471060124,-4.9924469528631334,1.4488492702689928
0.9803964000476841,-4.992457199938011,1.44869633
0.9803300732766431,-4.992413599928475,1.44899633
0.980413100206628,-4.9924594669315745,1.44859633
0.98039404,-4.992446920000001,1.44869633
0.9804143175953326,-4.99249759418117,1.4486492702689928
0.98034796,-4.99239202,1.44895633
0.9803841646662834,-4.992448717565881,1.44879633
0.9803786,-4.99243185,1.44899633
0.9804579927027809,-4.992479264157627,1.44849633
0.9803704999957926,-4.992487447056926,1.4490551536119096
0.9803897333847255,-4.992445266798061,1.4487629961368513
0.9803954666767333,-4.9924536466668785,1.4491229965607018
0.9804199,-4.9924552,1.44859633
0.9804176333328035,-4.992486133305783,1.44869633
0.9803539178267394,-4.992492005912794,1.44879633
0.9803843,-4.99245563334234,1.44889633
0.9804225,-4.9924576,1.44869633
0.980383247080768,-4.992432464722382,1.44879633
0.9804158250357626,-4.992475816764683,1.44879633
0.98039654,-4.9925003,1.44879633
0.9803904999657275,-4.992534550048429,1.44879633
0.9804179999523162,-4.992531757200272,1.4486891876294277
0.9804004883034374,-4.992604611676928,1.44889633
0.98034522,-4.9924359,1.4491163299999998
0.980430414349455,-4.99250067150545,1.44849633
0.9804102999761578,-4.992466506239197,1.4488275796274661
0.9804022599825161,-4.992505753319558,1.44869633
0.9804052588264168,-4.992509811812967,1.44899633
0.980403649976158,-4.992498992735014,1.44889633
0.9804176133433998,-4.99252951339903,1.44849633
0.9803945374793247,-4.992514187456228,1.44899633
0.9804410142913098,-4.992448328545154,1.44869633
0.9803938,-4.9924751,1.44909633
0.9803961624893829,-4.992469037513597,1.44869633
0.9804219666815017,-4.99248009994119,1.44879633
0.9804375470653409,-4.992536682348569,1.44859633
0.980367847062536,-4.992426452916427,1.44899633
0.9804333200063577,-4.9925355200460935,1.4486029961368514
0.9803987749836085,-4.992501300011922,1.4488088292549324
0.9804383072121934,-4.9924881927980245,1.44889633
0.9804017000953675,-4.992478199895095,1.44899633
0.9804242234716631,-4.9925192470625355,1.4485022119404514
0.9803873,-4.9925052,1.44899633
0.9804454588502588,-4.992569364671893,1.44869633
0.9804106428943649,-4.992471671425895,1.4490534731004239
0.9804460500154972,-4.992568649936819,1.44869633
0.9804367176822855,-4.992536499950914,1.4488080952833682
0.9804224999745684,-4.992539960015258,1.44879633
0.9804375999880791,-4.992568525005588,1.44899633
0.980421700030654,-4.992575107167916,1.4490749011852861
0.9804550799999999,-4.99256536,1.44883633
0.980442552928307,-4.992577105856614,1.448925742094693
0.9804622,-4.9925145,1.44879633
0.980443041167396,-4.992557917693257,1.449072799763267
0.9804254799885558,-4.992486946673236,1.448842996878596
0.9804683538898874,-4.992583584620181,1.44879633
0.9804168399974569,-4.992515266659249,1.4489696634392981
0.9804644,-4.9925421,1.44909633
0.9804389866675144,-4.9925187865721465,1.4490029962428075
0.9804600176752731,-4.992550617717347,1.4486492716714585
0.9803905599834695,-4.992519160018438,1.449142996878596
0.9804251143985968,-4.992469642970999,1.44879633
0.9804690000752898,-4.9925719422049895,1.4488384346027203
0.9804657,-4.9924359,1.44869633
0.9804402941546057,-4.99254575285538,1.44879633
0.9803719801506819,-4.992457719901771,1.44909633
